"NOMBRE";"SEXO";"AÑO.DE.NACIMIENTO";"G.PARLAMENTARIO";"ECIVIL";"NIVEL.ACADEMICO";"ORIGEN";"ESCAÑO";"NAINE";"CARGO";"RANGO.EDAD"
"Antonio, González Terol";"Hombre";1978;"PP";"Casado/a";"Educación Superior";"Madrid";NA;NA;"Diputado. Alcalde de Boadilla del Monte. Vocal Suplente de la Diputación Permanente. Miembro de la Delegación española en la Asamblea Parlamentaria de la Unión para el Mediterráneo.";"40-44"
"Marta, González Vázquez";"Mujer";1965;"PP";"Casado/a";"Educación Superior";"A Coruña";NA;NA;"Diputada. Vocal de la Diputación Permanente. Vicepresidenta Primera de la Comisión de segto. y eval. acuerdos Pacto de Estado Violencia Género desde el 20/09/2018 al 05/03/2019,";"50-54"
"María, González Veracruz";"Mujer";1979;"PSOE";"Pareja de hecho";"Educación Superior";"Murcia";NA;NA;"Diputada. Vocal de la Diputación Permanente. Vicepresidenta Primera de la Comisión de segto. y eval. acuerdos Pacto de Estado Violencia Género desde el 20/09/2018 al 05/03/2019. Portavoz de la Comisión de Ciencia, Innovación y Universidades desde el 09/07";"40-44"
"Juan Luis, Gordo Pérez";"Hombre";1959;"PSOE";"Casado/a";"Educación Superior";"Segovia";NA;NA;"Diputado. Secretario General del PSOE Segovia. Secretario Segundo del Congreso de los Diputados desde el 19/07/2016 al 05/03/2019. Secretario Segundo de la Mesa del Congreso desde el 19/07/2016 al 05/03/2019.Secretario Segundo de la Comisión de Reglamento";"60-64"
"Txema, Guijarro García";"Hombre";1975;"Podemos";"Casado/a";"Educación Superior";"Alicante";NA;NA;"Diputado. Vocal Suplente de la Diputación Permanente
Miembro Titular de la Delegación española en la Asamblea Parlamentaria de la OTAN. Vicepresidente Segundo de la Comisión de Asuntos Exteriores desde el 13/09/2016 al 08/03/2017.";"40-44"
"Lidia, Guinart Moreno";"Mujer";1966;"PSOE";"Casado/a";"Educación Superior";"Barcelona";NA;NA;"Diputada. Consellera Nacional del PSC. Vicepresidenta Primera de la Comisión de Política Territorial y Función Pública desde el 27/06/2018 al 05/03/2019. ";"50-54"
"Antonio, Gutiérrez Limones";"Hombre";1963;"PSOE";"Casado/a";"Educación Superior";"Sevilla";NA;NA;"Diputado. Alcalde de Alcalá de Guadaira. Senador. Miembro Titular de la Delegación española en la Asamblea Parlamentaria del Consejo de Europa. Vocal de la Delegación española en la Asamblea Parlamentaria de la Organización para la Seguridad y Cooperación";"55-59"
"Miguel Ángel, Gutiérrez Vivas";"Hombre";1964;"Ciudadanos";"Divorciado/a";"Educación Superior";"Madrid";NA;NA;"Diputado. Delegado Territorial de la Comunidad de Madrid. Vocal de la Diputación Permanente. Miembro Titular de la Delegación española en la Asamblea Parlamentaria de la OTAN";"55-59"
"Miguel Ángel, Heredia Díaz";"Hombre";1966;"PSOE";"Casado/a";"Educación Superior";"Málaga";NA;NA;"Diputado. Secretario General del PSOE-A (Málaga).";"50-54"
"Silvia, Heredia Martín";"Mujer";1979;"PP";"Casado/a";"Educación Superior";"Sevilla";NA;NA;"Diputada. Concejal del Ayuntamiento de Écija. ";"40-44"
"María del Carmen, Hernández Benito";"Mujer";1963;"PP";"Divorciado/a";"Educación Superior";"Las Palmas";NA;NA;"Diputada. Vicesecretaria organización regional canarias (2006-2016). Secretaria Primera de la Comisión de Investigación accidente del vuelo JK 5022 de Spanair desde el 18/04/2018 al 05/03/2019.";"55-59"
"Rafael Antonio, Hernando Fraile";"Hombre";1961;"PP";"Divorciado/a";"Educación Superior";"Almería";NA;NA;"Diputado. Portavoz del Grupo Parlamentario Popular. Vocal de la Diputación Permanente. ";"55-59"
"Antonio, Hernando Vera";"Hombre";1961;"PSOE";"Divorciado/a";"Educación Superior";"Madrid";NA;NA;"Diputado. Portavoz de la Comisión Mixta de Seguridad Nacional desde el 01/07/2017 al 05/03/2019. ";"55-59"
"Sofía, Hernanz Costa";"Mujer";1970;"PSOE";"Casado/a";"Educación Superior";"Islas Baleares";NA;NA;"Diputada. Vocal de la Diputación Permanente. Ponente de la Ponencia Prop. L.O. mod. L.O. 5/1995, del Tribunal del Jurado (124/1). Miembro Suplente de la Delegación española en la Asamblea Parlamentaria de la OTAN.";"45-49"
"Jose Alberto, Herrero Bono";"Hombre";1978;"PP";"Casado/a";"Educación Superior";"Teruel";NA;NA;"Diputado. Concejal del Ayuntamiento de Calanda. ";"40-44"
"María Auxiliadora, Honorato Chulián";"Mujer";1974;"Podemos";"Soltero/a";"Educación Superior";"Sevilla";NA;NA;"Diputada. Miembro del Consejo Ciudadano Estatal de Podemos. Secretaria de Acción Institucional y miembro del Consejo Ciudadano andaluz.";"45-49"
"Belén, Hoyo Juliá";"Mujer";1984;"PP";"Casado/a";"Educación Superior";"Valencia";NA;NA;"Diputada. Directora General de Juventud de la Generalitat Valenciana. Vicesecretaria de Organización Nacional de Nuevas Generaciones del Partido Popular. Coordinadora General del Partido Popular de la Provincia de Valencia.";"35-39"
"Antonio, Hurtado Zurera";"Hombre";1961;"PSOE";"Soltero/a";"Educación Superior";"Córdoba";NA;NA;"Diputado. Vicepresidente Primero de la Comisión de Presupuestos desde el 13/09/2016 al 05/03/2019. ";"55-59"
"Francisco, Igea Arisqueta";"Hombre";1964;"Ciudadanos";"Casado/a";"Educación Superior";"Valladolid";NA;NA;"Diputado. Portavoz de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019. Secretario Primero de la Comisión para las Políticas Integrales de la Discapacidad desde el 28/09/2016 al 05/03/2019.";"55-59"
"Pablo, Iglesias Turrión";"Hombre";1978;"Podemos";"Soltero/a";"Educación Superior";"Madrid";NA;NA;"Diputado. Miembro de Podemos desde su fundación. Militante y activista social desde 1993.Vocal de la Diputación Permanente.";"40-44"
"Juan, Jiménez Tortosa";"Hombre";1958;"PSOE";"Casado/a";"Educación Superior";"Almería";NA;NA;"Diputado. Alcalde del Ayuntamiento de Benahadux. Secretario Primero de la Comisión de Educación y Formación Profesional desde el 21/06/2018 al 05/03/2019.";"60-64"
"Juan Manuel, Juncal Rodríguez";"Hombre";1958;"PP";"Casado/a";"Educación Superior";"A Coruña";NA;NA;"Diputado. Miembro Suplente de la Delegación española en la Asamblea Parlamentaria de la OTAN.";"60-64"
"Marc, Lamuà Estañol";"Hombre";1980;"PSOE";"Casado/a";"Educación Superior";"Girona";NA;NA;"Diputado. Secretario de Organización PSC Comarques Gironines.Miembro de la Delegación española en la Asamblea Parlamentaria de la Unión para el Mediterráneo. Vicepresidente Primero de la Comisión de Agricultura, Pesca y Alimentación desde el 21/06/2018 al";"35-39"
